,booking_id,booking_dt,release_dt,booking_charge_desc,booking_charge_txt,charge_release_dt,title_txt,cause_num,jurisdiction_cd,release_disposition_desc,post_flg,gender_desc,race_desc,hash_id,amer_indian_alaskan,asian_pacific_island,black,hispanic,unknown,white,female,male,place_of_birth,country_of_birth,born_in_us,time_detained,log_time_detained,admin_booking,release_to_imm,cancel_detainer,imm_hold,final_release_disp,charge_count,charge_topcount,category,type,seriousness,max_seriousness,max_charge_type,max_charge_desc,drug,other,property,public_order,sex,violent,felony,misdemeanor
52,0036009d4bbc1ffde211ece940378395d666fc8c,2016-12-07 00:10:00,2016-12-08 13:20:00,DWLS/DWLR,,2016-12-08 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,WHITE,a4ca9c19f10fbf79f50d6ec01ff050965503358e,0,0,0,0,0,1,0,1,NEW MEXICO,UNITED STATES OF AMERICA,True,1.5486111111111112,0.4373584718841182,0,0,0,0,"NCF, Pending Inv",0,0,misdemeanor,public_order,2.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
53,003a2c311317fa95612e6c83299fbe20afab23a5,2018-05-05 23:25:00,2018-05-07 12:55:00,DWI,2 PRIORS,2018-05-07 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,WHITE,674b35023bf13bb274c6e67d4e8522e7eab2bac9,0,0,0,0,0,1,0,1,ESTONIA,ESTONIA,False,1.5625,0.4462871026284195,0,0,0,0,"NCF, Pending Inv",0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
80,004ad95deed817c1c8f47d01ed83dadcfe1ba073,2017-02-04 18:16:00,2017-02-04 20:07:00,THEFT 3,,2017-02-04 19:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: SIP",,TACM,SIP,N,MALE,ASIAN/PACIFIC ISLAND,66f3caf75301d8048889d69618b366e55ea93016,0,1,0,0,0,0,0,1,GUAM,UNITED STATES OF AMERICA,True,0.07708333333333334,-2.5628681912577123,0,0,0,0,SIP,0,0,gross misdemeanor,property,3.0,3.0,property,THEFT 3,0,0,1,0,0,0,0,1
104,0059337a3f398aabc169a89b1ee3a7bcc3d1ff82,2018-01-03 15:28:00,2018-01-04 18:30:00,UPCS,,2018-01-04 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: No Charges Filed",,SUP,No Charges Filed,N,FEMALE,WHITE,ffbbb74fe8594e3e7e1d7e40b355c35f9253f04d,0,0,0,0,0,1,1,0,UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,True,1.1263888888888889,0.11901684210531192,0,0,0,0,No Charges Filed,0,0,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
113,0063b1c846557490798e097553c6c60c22f6d734,2017-05-26 04:37:00,2017-05-29 13:10:00,POSSESS STOLEN VEHICLE,,2017-05-29 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,SUP,Bail Bond,N,MALE,ASIAN/PACIFIC ISLAND,d61c3093d5fcbe2e0c9a2494241a0c67be7c6a73,0,1,0,0,0,0,0,1,MASSACHUSETTS,UNITED STATES OF AMERICA,True,3.35625,1.210824279275038,0,0,0,0,Bail Bond,0,0,class B felony,property,5.0,5.0,property,POSSESS STOLEN VEHICLE,0,0,1,0,0,0,1,0
121,006da3f6d85c59c94bc229674f466c344c47073e,2017-12-06 00:36:00,2017-12-06 14:20:00,VIO NC ORD /DV,,2017-12-06 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Cash Bail",,PD1,Cash Bail,N,MALE,WHITE,69e70f64faf7b909cb4134b41ea8893114f50b19,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.5722222222222222,-0.5582278626605747,0,0,0,0,Cash Bail,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,VIO NC ORD /DV,0,0,0,1,0,0,0,1
133,0074653118698bf7fdd586bb3c4e3fe98d786356,2018-05-27 07:37:00,2018-05-27 12:00:00,MAL MISCH 3 /DV,,2018-05-27 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Cash Bail",,TACM,Cash Bail,N,MALE,BLACK,fe4c835a4b2052b8c095853003817e9ac080e3f6,0,0,1,0,0,0,0,1,KENYA,KENYA,False,0.18263888888888888,-1.700244360392282,0,0,0,0,Cash Bail,0,0,gross misdemeanor,property,3.0,3.0,property,MAL MISCH 3 /DV,0,0,1,0,0,0,0,1
164,0094251ed13956583d85c5ee670737aad8f7ddd3,2017-06-26 18:24:00,2017-06-26 19:30:00,THEFT 3,,2017-06-26 19:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: SIP",,TACM,SIP,N,FEMALE,WHITE,708df610a2045867e1bb3eae777d0bbaa0b6b13e,0,0,0,0,0,1,1,0,MONTANA,UNITED STATES OF AMERICA,True,0.04583333333333333,-3.082743650543621,0,0,0,0,SIP,0,0,gross misdemeanor,property,3.0,3.0,property,THEFT 3,0,0,1,0,0,0,0,1
166,009608d5b47343367e5341fdb3a2bfee5dbb56a7,2018-06-14 17:47:00,2018-06-15 17:46:00,ASLT 2 -DV,,2018-06-15 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: No Charges Filed",,SUP,No Charges Filed,N,MALE,WHITE,ae8b9d1235ea96b6bbb205508fc17c015bac772e,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.9993055555555556,-0.0006946856826784849,0,0,0,0,No Charges Filed,0,0,class B felony,violent,5.0,5.0,violent,ASLT 2 -DV,0,0,0,0,0,1,1,0
178,00ae520a414422c7eef9b53090fbb0e49708def8,2018-01-12 11:58:00,2018-01-12 12:20:00,DWLS/DWLR,,2018-01-12 12:30:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: SIP",,TACM,SIP,N,MALE,WHITE,22f7f23bc6d9311b0c46cb2ebbd1a4051d2e1f01,0,0,0,0,0,1,0,1,OKLAHOMA,UNITED STATES OF AMERICA,True,0.015277777777777776,-4.1813559392117305,0,0,0,0,SIP,0,0,misdemeanor,public_order,2.0,2.0,public_order,DWLS/DWLR,0,0,0,1,0,0,0,1
191,00c2c7a2a376133ad73321c158e2fe7de300af0e,2017-11-25 19:14:00,2017-11-27 12:15:00,DUI WITH PRIOR CONVICTION,,2017-11-27 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,HISPANIC,64f8b243551213c5c42e80f647e6dfdaaf242c8b,0,0,0,1,0,0,0,1,JALISCO,MEXICO,False,1.7090277777777778,0.5359246578210096,0,0,0,0,"NCF, Pending Inv",0,0,class B felony,public_order,5.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
192,00c2c7a2a376133ad73321c158e2fe7de300af0e,2017-11-25 19:14:00,2017-11-27 12:15:00,DWLS/DWLR,,2017-11-27 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,HISPANIC,7f77eb36d503396ad8a88ed166cc072111bd08b3,0,0,0,1,0,0,0,1,JALISCO,MEXICO,False,1.7090277777777778,0.5359246578210096,0,0,0,0,"NCF, Pending Inv",0,0,misdemeanor,public_order,2.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
201,00d2c50c70c27b00d7cdbe7b3d60151fe820a71d,2017-11-16 22:51:00,2017-11-17 01:30:00,DWI,,2017-11-17 02:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Cash Bail",,PD1,Cash Bail,N,FEMALE,WHITE,dffc5304385a6af864639441e182e8b7f519d3fa,0,0,0,0,0,1,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.11041666666666666,-2.203494190349814,0,0,0,0,Cash Bail,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
204,00dd4dc2c70799417767730a026533b9efcba126,2017-09-30 04:42:00,2017-09-30 17:50:00,DWI,,2017-09-30 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,PD1,Bail Bond,N,MALE,ASIAN/PACIFIC ISLAND,74e608b4d47206f673cbfec426f9a6f8b20489c6,0,1,0,0,0,0,0,1,,,False,0.5472222222222223,-0.6029003027121671,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
224,00f00d625dc03c920207b04222285be81a95c8cc,2017-12-09 02:02:00,2017-12-09 22:21:00,DWI,,2017-12-09 23:59:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,SUP,Bail Bond,N,MALE,BLACK,728988453972aa61fffbbb9317586164edcad5da,0,0,1,0,0,0,0,1,GERMANY,GERMANY,False,0.8465277777777778,-0.1666122630887748,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,5.0,property,POSS OF A STOLEN FIREARM,0,0,1,0,0,0,1,0
225,00f00d625dc03c920207b04222285be81a95c8cc,2017-12-09 02:02:00,2017-12-09 22:21:00,POSS OF A STOLEN FIREARM,,2017-12-09 23:59:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,SUP,Bail Bond,N,MALE,BLACK,f7d94f8864193443e31f0fbe3cc1618dce33273a,0,0,1,0,0,0,0,1,GERMANY,GERMANY,False,0.8465277777777778,-0.1666122630887748,0,0,0,0,Bail Bond,0,0,class B felony,property,5.0,5.0,property,POSS OF A STOLEN FIREARM,0,0,1,0,0,0,1,0
234,00f47be2f15e55b2a3fc0f69134bfd5cf868bbdb,2018-03-29 17:51:00,2018-03-29 21:00:00,RECK DRV,,2018-03-29 21:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: SIP",,PD1,SIP,N,MALE,WHITE,5782fb5d0c3dc91ac47586d6f854e77301fbfd67,0,0,0,0,0,1,0,1,NEW YORK,UNITED STATES OF AMERICA,True,0.13125,-2.030651377510404,0,0,0,0,SIP,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,RECK DRV,0,0,0,1,0,0,0,1
248,0104b2d926d8307a341ca2fe34d43cc3a7eb4750,2018-06-22 14:40:00,2018-06-25 20:18:00,POSSESS STOLEN VEHICLE,,2018-06-25 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: No Charges Filed",,SUP,No Charges Filed,N,MALE,BLACK,685b1192af2e17bbd2cacf73db91389163939cd4,0,0,1,0,0,0,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,3.2347222222222216,1.17394305787424,0,0,0,0,No Charges Filed,0,0,class B felony,property,5.0,5.0,property,POSSESS STOLEN VEHICLE,0,0,1,0,0,0,1,0
254,010f9a0c4da87fd044934dc812a7b3e604a137e9,2017-11-13 02:24:00,2017-11-13 08:15:00,CARRY CONCEALED WPN W/O PERMIT,,2017-11-13 09:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,TACM,Bail Bond,N,MALE,BLACK,fb8ebbdd548f74f788f4f029a6d744067cf0725c,0,0,1,0,0,0,0,1,MISSISSIPPI,UNITED STATES OF AMERICA,True,0.24375,-1.4116121691041803,0,0,0,0,Bail Bond,0,0,civil infraction,public_order,1.0,1.0,public_order,CARRY CONCEALED WPN W/O PERMIT,0,0,0,1,0,0,0,0
272,0122be779c9681701f5fd08465d3f3830ae9316c,2017-06-17 12:19:00,2017-06-17 18:50:00,MAL MISC 3 /DV,,2017-06-17 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,SUMM,Bail Bond,N,MALE,WHITE,e0495446c4acc1a88f9200aee8152161867a407d,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.27152777777777776,-1.3036908325846803,0,0,0,0,Bail Bond,0,0,gross misdemeanor,property,3.0,3.0,property,MAL MISC 3 /DV,0,0,1,0,0,0,0,1
273,0122be779c9681701f5fd08465d3f3830ae9316c,2017-06-17 12:19:00,2017-06-17 18:50:00,POSS MARIJUANA - 40 GRAMS OR LESS,,2017-06-17 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,SUMM,Bail Bond,N,MALE,WHITE,29f1d37e55b4129df0ad53fa856ec1698f7e852f,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.27152777777777776,-1.3036908325846803,0,0,0,0,Bail Bond,0,0,misdemeanor,drug,2.0,3.0,property,MAL MISC 3 /DV,0,0,1,0,0,0,0,1
336,014783125b07b466b79cdcb99898acd8d441c3d1,2016-11-13 08:41:00,2016-11-14 13:19:00,ASSAULT 4 /DV,,2016-11-14 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,FEMALE,ASIAN/PACIFIC ISLAND,fd319fe696ed3a42b6c9425e271d23577d340c85,0,1,0,0,0,0,1,0,UNKNOWN,UNKNOWN,False,1.1930555555555555,0.17651770997415436,0,0,0,0,"NCF, Pending Inv",0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
349,0151dfb0ecd79fbcf7e44b1f6e070fd3511422c9,2017-02-16 22:28:00,2017-02-17 19:12:00,DV CT ORD VIO 2X CONVICTIONS,,2017-02-17 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: No Charges Filed",,SUP,No Charges Filed,N,MALE,BLACK,c3e9947296977428f6a3d57328fec1d620864db9,0,0,1,0,0,0,0,1,OREGON,UNITED STATES OF AMERICA,True,0.8638888888888889,-0.1463111192709215,0,0,0,0,No Charges Filed,0,0,class C felony,public_order,4.0,4.0,public_order,DV CT ORD VIO 2X CONVICTIONS,0,0,0,1,0,0,1,0
356,015a4e7885c0b5256da8510aaa1b833e51376506,2017-10-21 00:29:00,2017-10-21 08:35:00,CRIM ASLT /DV,,2017-10-21 08:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Cash Bail",,TACM,Cash Bail,N,MALE,WHITE,cabc1e8ed9f6508cd4172953ddc8ec461269b4d6,0,0,0,0,0,1,0,1,GEORGIA,UNITED STATES OF AMERICA,True,0.3375,-1.0861897686695523,0,0,0,0,Cash Bail,0,0,class C felony,violent,4.0,4.0,violent,CRIM ASLT /DV,0,0,0,0,0,1,1,0
363,016220d0b022442a865411597c204f1eef5d9cf9,2017-01-13 16:06:00,2017-01-17 18:38:00,"FEL HARASS-DV, DV-THREATS/DEATH THRT",,2017-01-17 20:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: No Charges Filed",,SUP,No Charges Filed,N,MALE,BLACK,4e22d159d50ac082a3c19436f763a53621d7bc25,0,0,1,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,4.105555555555555,1.4123410700579913,0,0,0,0,No Charges Filed,0,0,class C felony,violent,4.0,4.0,violent,"FEL HARASS-DV, DV-THREATS/DEATH THRT",0,0,0,0,0,1,1,0
364,016220d0b022442a865411597c204f1eef5d9cf9,2017-01-13 16:06:00,2017-01-17 18:38:00,UPCS,,2017-01-17 20:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: No Charges Filed",,SUP,No Charges Filed,N,MALE,BLACK,07a8f7b1cddb2c7b5af728a43f9c1f9e87428dd1,0,0,1,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,4.105555555555555,1.4123410700579913,0,0,0,0,No Charges Filed,0,0,class C felony,drug,4.0,4.0,violent,"FEL HARASS-DV, DV-THREATS/DEATH THRT",0,0,0,0,0,1,1,0
381,01720be77ec9f89d87a134acd9de0a4c4f5fc8f9,2017-11-09 05:04:00,2017-11-09 21:40:00,RESIST ARR,,2017-11-09 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,PD1,Bail Bond,N,MALE,HISPANIC,0e189a026d7e272cd7b05c7008532538c18f95bb,0,0,0,1,0,0,0,1,MEXICOSTATE,MEXICO,False,0.6916666666666667,-0.3686511349854481,0,0,0,0,Bail Bond,0,0,misdemeanor,public_order,2.0,3.0,public_order,OBSTR PO,0,0,0,1,0,0,0,1
382,01720be77ec9f89d87a134acd9de0a4c4f5fc8f9,2017-11-09 05:04:00,2017-11-09 21:40:00,MTR VEH TRANSFER OF OWNERSHIP VIOL,,2017-11-09 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,PD1,Bail Bond,N,MALE,HISPANIC,250b974e3162b23ffddd163d188a9e138f395974,0,0,0,1,0,0,0,1,MEXICOSTATE,MEXICO,False,0.6916666666666667,-0.3686511349854481,0,0,0,0,Bail Bond,0,0,misdemeanor,property,2.0,3.0,public_order,OBSTR PO,0,0,0,1,0,0,0,1
383,01720be77ec9f89d87a134acd9de0a4c4f5fc8f9,2017-11-09 05:04:00,2017-11-09 21:40:00,OBSTR PO,,2017-11-09 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Bail Bond",,PD1,Bail Bond,N,MALE,HISPANIC,391567555b36fb0449ccebdc16c2e42baa2500e8,0,0,0,1,0,0,0,1,MEXICOSTATE,MEXICO,False,0.6916666666666667,-0.3686511349854481,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,OBSTR PO,0,0,0,1,0,0,0,1
409,01821569cc382f88eaa964a397c2a1266e183e9d,2017-07-27 00:51:00,2017-07-27 21:00:00,ASSAULT 4 /DV,,2017-07-27 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Cash Bail",,PD1,Cash Bail,N,MALE,WHITE,e774441bcce27a7042d0482b8d0ea4ff86f828cf,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.8395833333333333,-0.17484954195525362,0,0,0,0,Cash Bail,0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
441,018f9f643aae7b17deb747f0a1fccc0f9abf861e,2018-06-14 01:05:00,2018-06-14 16:05:00,ASSAULT 4 /DV,,2018-06-14 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: Cash Bail",,PD1,Cash Bail,N,MALE,WHITE,59bf884d4c283e729891a80d9fc10a3150e4e295,0,0,0,0,0,1,0,1,ILLINOIS,UNITED STATES OF AMERICA,True,0.625,-0.4700036292457356,0,0,0,0,Cash Bail,0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
452,0196b07037532ae9bc1529d28e3bebf08f9a55b5,2016-11-20 19:54:00,2016-11-20 22:20:00,VIOL N/C ORDER,,2016-11-20 23:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,TACM,Bail Bond,N,MALE,BLACK,f5a0742c03cd03bb38f69fc3ffbdb1d774d7b5ab,0,0,1,0,0,0,0,1,LOUISIANA,UNITED STATES OF AMERICA,True,0.10138888888888888,-2.28879177086171,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,VIOL N/C ORDER,0,0,0,1,0,0,0,1
461,01a58f9d250d2e30e0d1b8c505be5c61a25cb669,2017-12-16 07:27:00,2017-12-18 17:49:00,TMVWOP 2,,2017-12-18 22:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF, Pending Inv",,SUP,"NCF, Pending Inv",N,MALE,AMER INDIAN/ALASKAN,bbc97e9fef10fd5c7ecea62bbdd37097b70a58c2,1,0,0,0,0,0,0,1,NEW MEXICO,UNITED STATES OF AMERICA,True,2.4319444444444445,0.8886911202757508,0,0,0,0,"NCF, Pending Inv",0,0,class C felony,property,4.0,4.0,property,TMVWOP 2,0,0,1,0,0,0,1,0
462,01a7568f54b9f6ac7ef643bbb9fdaf2d8ca7be0e,2017-07-24 13:13:00,2017-07-24 13:30:00,HIT/RUN ATT,,2017-07-24 13:30:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: SIP",,PD1,SIP,N,MALE,WHITE,6ed0141ac7fe1bd95aab415d5f4f80cbbb7603dc,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.011805555555555557,-4.4391850485138304,0,0,0,0,SIP,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,HIT/RUN ATT,0,0,0,1,0,0,0,1
472,01acb272d390ce671871a5787fe26e6a93e431a9,2017-05-29 03:57:00,2017-05-29 05:00:00,CRIM TRESP,,2017-05-29 05:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: SIP",,PD1,SIP,N,MALE,WHITE,9c301e23b0701c106c61aebebca64f9cee05e6ea,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.04375,-3.1292636661785136,0,0,0,0,SIP,0,0,gross misdemeanor,property,3.0,3.0,property,CRIM TRESP,0,0,1,0,0,0,0,1
